Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
28.02.18;0;2;Ski;M;Haukelifjell;Vinje;Tele.;148176;;Skiløper fjernutløste lite skred. Ikke tatt.Ingen skadet.
28.02.18;0;6;Ski;M;Nonstinden, Kvaløya;Rauma;M&R;148130;;Seks skiløpere utløste og fem tatt av skred. Alle kom seg uskadet ut av skredet. Sjekket av helsepersonell, men ok.
27.02.18;0;1;Ski;M;Bondalseidet;Ørsta;M&R;147937;;Skiløper utløste lite skred. Ingen tatt, ingen skadet
27.02.18;0;1;Ski;M;Synnevaskjer;Sogndal;S&F;147965;;Skiløper fjernutløste lite skred. Ikke tatt.
27.02.18;0;1;Ski;M;Flæfjellet;Samnanger;Hord.;147955;;Skiløper utløste flere småskred. Ble ført ned et stykke, men kom seg ut ved egen hjelp. Ikke skadet
26.02.18;0;2;Ski;M;Loftskardtinden;Rauma;M&R;147773;;Skiløperutløst skred. Klarte å kjøre ut av skredet. Ingen skadet.
24.02.18;0;2;Ski;M;Heggmoen;Hemnes;Nord.;147522;;To skiløpere fjernutløste skred. Ingen tatt. Skredet nådde akkurat ned stil skiløperne. Ingen skadet.
24.02.18;0;2;Ski;M;Budalstinden;Vågan;Nord.;147530;;To skiløpere fjernutløste skred. Ingen tatt. Ingen skadet.
23.02.18;0;3;Snøskuter;M;Kapp Schoultz bakken;Svalbard;Sval.;147415;;Stort flakskred fjernutløst av snøscooterfølge. Ingen tatt. Ingen skadet.
21.02.18;0;1;Ski;M;Ulriken;Bergen;Hord.;147628;;Skred utløst av skiløper som klarte å kjøre ut av skredet uten å bli tatt.
21.02.18;0;1;Ski offpist;M;Hemsedal skisenter;Hemsedal;Busk.;147009;;Skred utløst i alpinanlegg. Mange skispor i nærheten. Men ingen nærmere observasjon om hendelsen.
15.02.18;0;1;Ski;M;Fjellbergskaret;Suldal;Roga.;145723;;Skiløperutløst skred nær hyttebebyggelse. Begravd 20 cm.under snøen, men gravde seg selv ut. 
13.02.18;0;1;Ski;M;Myklebust fjellet;Flora;S&F;145448;;Skiløperutløst skred. Usikkert hvor mange som var involvert.
13.02.18;0;2;Ski;M;Livarden;Bergen;Hord.;145440;;Fjernutløst skred. En ført med og delvis begravd, men kom seg ut ved egen hjelp.
13.02.18;0;4;Ski offpist;M;Hemsedal skisenter;Hemsedal;Busk.;145385;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
